term,label,coef,ci_low,ci_high,effect_pct,ci_low_pct,ci_high_pct
Female,Female,-0.1548416181671243,-0.1669610745380523,-0.1427221617961964,-14.344917116880307,-15.376744931095487,-13.300508025363511
Age2,Age^2,-9.705515555504816e-05,-0.0003446394499288,0.0001505291388187,-0.009705044585583966,-0.03445800685755174,0.01505404688979528
Tenure2,Tenure^2,-7.968823995429403e-07,-8.782094523026151e-07,-7.155553467832655e-07,-7.968820819881373e-05,-8.782090666903386e-05,-7.155550907356201e-05
TENURE,Tenure,0.001081125864749,0.0010160220854743,0.0011462296440236,0.10817104919829124,0.10165384107645448,0.11468868162880508
Age,Age,0.0342055437361834,0.0224384564165552,0.0459726310558115,3.479728096976298,2.2692092091517457,4.704575402797917
HGC,Education (HGC),0.0541068550202496,0.0513516061049856,0.0568621039355137,5.559739200959024,5.26929614922067,5.850983599048032
