sex,x_log_wage,density,median_log_wage,gap_low,gap_high
Male,0.6931471805599453,0.02974268894235952,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.7050669827546587,0.03377260049164579,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.7169867849493722,0.037447285742699954,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.7289065871440857,0.04055550459509185,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.7408263893387992,0.042918103152084414,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.7527461915335126,0.04441115453635386,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.7646659937282261,0.044982797584633444,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.7765857959229396,0.044660333204278986,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.7885055981176531,0.04354591131796671,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.8004254003123665,0.041801405959219065,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.81234520250708,0.03962526305284472,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.8242650047017934,0.03722565381964021,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.836184806896507,0.034794798527192604,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.8481046090912204,0.03248875501587534,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.8600244112859339,0.030415509375462342,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.8719442134806474,0.028632289915363086,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.8838640156753609,0.02715114570833534,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.8957838178700743,0.025950406698101763,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.9077036200647878,0.024988918570624002,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.9196234222595012,0.02421996242318249,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.9315432244542148,0.023602392733212303,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.9434630266489282,0.02310751709099703,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.9553828288436417,0.022721328587417242,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.9673026310383552,0.022442653559239828,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.9792224332330686,0.022278437441464623,2.302585092994046,2.21375387928743,2.302585092994046
Male,0.9911422354277821,0.022237695271130464,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.0030620376224957,0.022325620046871088,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.014981839817209,0.02253905036832494,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.0269016420119226,0.022864055499224233,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.038821444206636,0.023275906893580632,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.0507412464013495,0.0237412545089873,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.062661048596063,0.02422196923362753,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.0745808507907764,0.02467987947641418,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.08650065298549,0.025081533622247024,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.0984204551802033,0.025402163564686896,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.1103402573749168,0.025628200805317036,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.1222600595696304,0.02575798330656954,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.1341798617643437,0.025800645167459238,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.1460996639590573,0.02577353842045908,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.1580194661537706,0.025698822274413745,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.1699392683484842,0.025600002858641936,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.1818590705431977,0.025499176665083178,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.1937788727379113,0.025415526463810106,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.2056986749326246,0.02536528722863054,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.217618477127338,0.025363022603370377,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.2295382793220515,0.02542372224017941,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.241458081516765,0.02556502601663116,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.2533778837114786,0.02580884790203766,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.265297685906192,0.026181811756791094,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.2772174881009053,0.02671418488883386,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.2891372902956189,0.02743733772426398,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.3010570924903324,0.02838009788120722,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.312976894685046,0.029564644835842546,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.3248966968797593,0.031002771658741813,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.3368164990744729,0.032693412650037335,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.3487363012691862,0.034622306817320356,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.3606561034638998,0.03676454741000487,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.3725759056586133,0.03909055940380349,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.3844957078533269,0.04157573981057047,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.3964155100480402,0.044213573597288294,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.4083353122427535,0.04703149262001371,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.420255114437467,0.050108093155239695,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.4321749166321807,0.0535896238177826,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.4440947188268942,0.05770299602926326,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.4560145210216076,0.06276208704539926,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.467934323216321,0.06916396095216222,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.4798541254110344,0.0773719976837401,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.491773927605748,0.08788395291603268,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.5036937298004616,0.10118477652799802,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.515613531995175,0.1176865772546603,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.5275333341898882,0.13766121826908334,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.5394531363846018,0.1611741808628463,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.5513729385793154,0.18803079850543739,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.563292740774029,0.21774685260494242,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.5752125429687422,0.24955403660760067,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.5871323451634558,0.2824465423470764,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.5990521473581691,0.3152682924235371,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.6109719495528827,0.3468322309952928,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.6228917517475963,0.3760553557593246,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.6348115539423098,0.40208784809559156,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.6467313561370232,0.4244134406628731,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.6586511583317365,0.442901878085558,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.67057096052645,0.45780257959568665,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.6824907627211636,0.46967978753420314,2.302585092994046,2.21375387928743,2.302585092994046
Male,1.6944105649158772,0.4793011186047244,2.302585092994046,2.21375387928743,2.302585092994046
